tipo,sub_tipo,codigo,nombre,provincia,codigo_departamento,departamento,localidad,direccion_geo,direccion,cp,telefono,extra1_reunion,extra2_inscripcion,extra3_socios,lat,lon
Centro de jubilados,,,C JYP AKARENSE ASOC CIVIL,CAPITAL FEDERAL,,,CAP. FEDERAL,"DONADO 1355, CAP. FEDERAL, CAPITAL FEDERAL, Argentina",DONADO 1355,1417,,,1999-08-24,50,,
Centro de jubilados,,,C JYP COMPROMISO Y LEALTAD,CAPITAL FEDERAL,,,CAP. FEDERAL,"JEAN JAURES 565, CAP. FEDERAL, CAPITAL FEDERAL, Argentina",JEAN JAURES 565,1215,,,1999-09-20,43,,
Centro de jubilados,,,C JYP VEN CONTIGO ESTOY,CAPITAL FEDERAL,,,CAP. FEDERAL,"MOZART 1268, CAP. FEDERAL, CAPITAL FEDERAL, Argentina",MOZART 1268,1407,,600890,1999-11-11,43,,
Centro de jubilados,,,"CTRO DE JYP ""EL DUENDE AZUL""",CAPITAL FEDERAL,,,CAPITAL FEDERAL,"AV CHICLANA 4128, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",AV CHICLANA 4128,1437,,,1999-12-06,23,-34.6293695,-58.4055816
Centro de jubilados,,,C DE LA 3ø EDAD UN PROPUESTA JOVEN,CAPITAL FEDERAL,,,CAPITAL FEDERAL,"COSTA RICA 5929, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",COSTA RICA 5929,1414,,,2000-02-18,0,-34.5913007,-58.4225535
Centro de jubilados,,,C JYP CALLE ANGOSTA,BUENOS AIRES,,,CAPITAL FEDERAL,"CESPEDES 3063, CAPITAL FEDERAL, BUENOS AIRES, Argentina",CESPEDES 3063,1426,,,2000-03-07,0,-34.5752618,-58.4526618
Centro de jubilados,,,C JTP MAS EXPERIENCIA,CAPITAL FEDERAL,,,CAPITAL FEDERAL,"GUARDIA VIEJA 4266, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",GUARDIA VIEJA 4266,1182,,,2000-05-29,0,-34.6008479,-58.419133
Centro de jubilados,,,ASOC. CIVIL CENTRO DE JYP NUEVO MILENIO,CAPITAL FEDERAL,,,CAPITAL FEDERAL,"VALENTIN GOMEZ 3410, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",VALENTIN GOMEZ 3410,1172,,"TODOS LOS DIAS 17,30 A 21",2000-06-21,101,-34.6052201122449,-58.4137020163265
Centro de jubilados,,,CENTRO DE JUB. Y PENS. PARQUE DE LOS PATRICIOS AL SUR,CAPITAL FEDERAL,,,CAPITAL FEDERAL,"ALBERTO EINSTEIN 1102, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",ALBERTO EINSTEIN 1102,1437,,"MA,J YS 16.30 A 18.30 HS.",2000-07-20,0,-34.6560611,-58.4102116
Centro de jubilados,,,"CENTRO DE JYP  ""AVENIDA""",CAPITAL FEDERAL,,,CAP.FED.,"AV. SAN JUAN 1490, CAP.FED., CAPITAL FEDERAL, Argentina",AV. SAN JUAN 1490,1148,,,2000-09-25,0,,
Centro de jubilados,,,CTRO. JYP DE LA 3° EDAD LA CASA DE LA GENTE DE FLORES,CAPITAL FEDERAL,,,CAPITAL FEDERAL,"BACACAY 2414, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",BACACAY 2414,1406,,,2001-01-26,0,-34.6266172612245,-58.4639218428571
Centro de jubilados,,,"CTRO. DE JYP ""PILARES""",CAPITAL FEDERAL,,,CAPITAL FEDERAL,"MORON 4822, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",MORON 4822,,,ERA DOC 0600958,2003-09-18,54,-34.6318444693878,-58.4969130408163
Centro de jubilados,,,C RECREAT JYP ABUELOS DE VILLA MERCED LOS ABUELOS,BUENOS AIRES,,,BERAZATEGUI,,,1884,,,1987-01-10,83,,
Centro de jubilados,,,C JYP DE CNEL MOM,BUENOS AIRES,,,CNEL MOM,"RIVADAVIA 110, CNEL MOM, BUENOS AIRES, Argentina",RIVADAVIA 110,6628,,MENSUAL,1986-09-01,93,,
Centro de jubilados,,,C JYP NUEVA ALBORADA,BUENOS AIRES,,,ADROGUE,"SALTA 1769, ADROGUE, BUENOS AIRES, Argentina",SALTA 1769,1846,,1000303,1992-05-27,120,,
Centro de jubilados,,,C SOC DE LA 3° EDAD LOS NONOS,BUENOS AIRES,,,CLAYPOLE,,,1849,,1010098/  8810284,1993-07-21,186,,
Centro de jubilados,,,C JYP EL AMANECER,BUENOS AIRES,,,CLAYPOLE,,,1849,,1000387,1997-04-25,59,,
Centro de jubilados,,,C JYP 3 DE FEBRERO,BUENOS AIRES,,,ADROGUE,"CHUBUT 685, ADROGUE, BUENOS AIRES, Argentina",CHUBUT 685,1846,,8810274,1995-05-19,125,,
Centro de jubilados,,,C JYP PACO MANRIQUE,BUENOS AIRES,,,ADROGUE,"ESPORA 468, ADROGUE, BUENOS AIRES, Argentina",ESPORA 468,1846,,1000173,1989-02-23,252,-34.8454317,-58.377282
Centro de jubilados,,,C JP Y ADHERENTES LOS TATAS DEL OMBU,BUENOS AIRES,,,ADROGUE,"MOYANO 600, ADROGUE, BUENOS AIRES, Argentina",MOYANO 600,1846,,8800112,1989-07-07,146,-34.8134284,-58.4227263
Centro de jubilados,,,LA CASA DE EVA PERON ASOC CIVIL CLUB DE LA 3RA JUVENTUD (AVELLANEDA),BUENOS AIRES,,,AVELLANEDA,"CHILE 1865, AVELLANEDA, BUENOS AIRES, Argentina",CHILE 1865,1870,,1010148/   8810287,1998-08-13,0,-34.6730947,-58.3936271
Centro de jubilados,,,C JYP DE LA DIR DE FAB MILITARES ECA - AVELLANEDA -,BUENOS AIRES,,,AVELLANEDA,"CARLOS FIORITO 950, AVELLANEDA, BUENOS AIRES, Argentina",CARLOS FIORITO 950,1870,,,1986-02-18,470,-34.6648915,-58.3877342
Centro de jubilados,,,C JYP CARLOS GARDEL,BUENOS AIRES,,,AVELLANEDA,"SANTIAGO DEL ESTERO 1873, AVELLANEDA, BUENOS AIRES, Argentina",SANTIAGO DEL ESTERO 1873,1870,,,1986-11-06,96,-34.6788694,-58.3867826
Centro de jubilados,,,C JYP EN ACCION,BUENOS AIRES,,,AVELLANEDA,"CORONEL DIAS 728, AVELLANEDA, BUENOS AIRES, Argentina",CORONEL DIAS 728,1870,,1000267,1991-04-04,508,,
Centro de jubilados,,,C JYP LOS PIBES DE ANTES,BUENOS AIRES,,,AVELLANEDA,"HEREDIA 4747, AVELLANEDA, BUENOS AIRES, Argentina",HEREDIA 4747,1870,,,1991-05-20,100,-34.6859334,-58.3654265
Centro de jubilados,,,C JYP ASOC PRO-REHABILITACION DE SORDOS GRAN BS AS,BUENOS AIRES,,,AVELLANEDA,"JOSE INGENIEROS 450, AVELLANEDA, BUENOS AIRES, Argentina",JOSE INGENIEROS 450,1870,,,1992-08-03,30,-34.6770933,-58.3592957
Centro de jubilados,,,SIND.DE LUZ Y FUERZA C F SUB-COM JUB ZONA DOCK SUD,BUENOS AIRES,,,DOCK SUD,"INGENIERO HUERGO 1586, DOCK SUD, BUENOS AIRES, Argentina",INGENIERO HUERGO 1586,1871,,,1984-07-06,0,-34.6555122,-58.3363219
Centro de jubilados,,,C JYP GIMNASIA Y ESGRIMA DE SARANDI,BUENOS AIRES,,,SARANDI,"HERNAN CORTES 336, SARANDI, BUENOS AIRES, Argentina",HERNAN CORTES 336,1872,,8810259,1990-04-02,843,-34.669515,-58.3419736
Centro de jubilados,,,C JYP HEBRAS DE PLATA AVELLANEDA,BUENOS AIRES,,,VILLA DOMICO,"ARREDONDO 4436, VILLA DOMICO, BUENOS AIRES, Argentina",ARREDONDO 4436,1874,,1000271,1991-05-13,213,,
Centro de jubilados,,,C JP Y DE LA 3° EDAD NUESTRA SEÑORA DEL PERPETUO SOCORRO,BUENOS AIRES,,,VILLA DOMINIC,"CAMINO GRAL BELGRANO 3714, VILLA DOMINIC, BUENOS AIRES, Argentina",CAMINO GRAL BELGRANO 3714,1874,,8810279,1999-09-27,58,,
Centro de jubilados,,,C JYP PAPELEROS AVELLANEDA,BUENOS AIRES,,,WILDE,"ECHEVERRIA 275, WILDE, BUENOS AIRES, Argentina",ECHEVERRIA 275,1875,,1000278,1991-07-23,299,-34.7143357,-58.3266875
Centro de jubilados,,,C JYP ABUELOS FELICES,BUENOS AIRES,,,WILDE,"CRISOLOGO LARRALDE 6800, WILDE, BUENOS AIRES, Argentina",CRISOLOGO LARRALDE 6800,1875,,1000449,2000-07-13,91,,
