cod_agencia;cod_ugl;desc_agencia;direccion_agencia;x;y;es_ugl
220.053;22;AGENCIA ABRA PAMPA;RUTA 9 AV JUAN DOMINGO PERON S/N ;-65,6964400000;-22,7212300000;0
230.000;23;UGL XXIII - FORMOSA;MORENO 1193 ;-58,1758999400;-26,1906002200;1
230.001;23;AGENCIA CLORINDA;AVDA SAN MARTIN 216 ;-57,7081600000;-25,2870380000;0
230.002;23;AGENCIA IBARRETA;SAN MARTIN 629 ;-59,8575640000;-25,2130170000;0
230.003;23;AGENCIA EL COLORADO;SANTA FE 148 ;-59,3667000000;-26,3000000000;0
230.005;23;AGENCIA LAS LOMITAS;LIBERTAD 245 ;-60,5923530000;-24,7044200000;0
230.050;23;AGENCIA LAGUNA BLANCA;LEANDO N. ALEN y SAN MARTIN S/N ;-58,2450130000;-25,1287730000;0
230.051;23;AGENCIA INGENIERO JUAREZ;AVDA. DEGUEN 384 ;-61,8539860000;-23,8964320000;0
230.052;23;AGENCIA PIRANE;SARMIENTO Y GRAL. PAZ S/N ;0,0000000000;0,0000000000;0
230.053;23;AGENCIA GENERAL BELGRANO;AV LIBERTADOR ESQ J.D. PERON S/N ;-58,9850950000;-24,9666670000;0
230.054;23;AGENCIA VILLA GENERAL GUEMES;FONTANA Y AV. BELGRANO S/Nº ;-59,5050600000;-24,7541970000;0
240.000;24;UGL XXIV - CATAMARCA;SAN MARTIN 680 ;-65,7778238400;-28,4698276900;1
240.001;24;AGENCIA BELEN;URQUIZA 240 ;-67,0271230000;-27,6500050000;0
240.002;24;AGENCIA SANTA MARIA;SAN MARTIN 380 ;-66,0485670000;-26,6981550000;0
240.003;24;AGENCIA TINOGASTA;COPIAPO 459 ;-67,5658820000;-28,0666030000;0
240.004;24;AGENCIA ANDALGALA;BARCENA S/N° ;-66,3165810000;-27,5838400000;0
240.005;24;AGENCIA RECREO;RIVADAVIA 125 ;-65,0666670000;-29,2833330000;0
240.006;24;AGENCIA POMAN;PTE. CASTILLO S/N ;-66,2187230000;-28,3957800000;0
240.007;24;AGENCIA VALLE VIEJO;PADRE ESQUIU 33 ;-65,7333330000;-28,4333330000;0
240.008;24;AGENCIA PIEDRA BLANCA;LA CALLECITA RUTA 41 S/N ;-65,7042840000;-28,3957610000;0
240.053;24;AGENCIA BAÑADO DE OVANTA;AVDA. NESTOR KIRCHNER S/N° - RUTA NAC. 64 S/N ;-65,3187490000;-28,1049950000;0
240.055;24;AGENCIA CHUMBICHA;BELGRANO ESQ CATAMARCA S/N ;-66,2359360000;-28,8523420000;0
240.056;24;AGENCIA FIAMBALA;DIEGO CARRIZO S/N ;-67,6194910000;-27,6909760000;0
240.059;24;AGENCIA LA MERCED;EJERCITO DEL NORTE S/N ;-65,6595400000;-28,1529470000;0
240.060;24;AGENCIA LA PUERTA;CALLE PRINCIPAL BARRIO EL TALAR S/N ;-65,8666670000;-28,1500000000;0
240.061;24;AGENCIA LA PUERTA DEL CORRAL QUEMADO;CALLE PRINCIPAL BARRIO SAN ROQUE S/N ;-66,9500000000;-27,3500000000;0
250.000;25;UGL XXV - LA RIOJA;AVDA. FACUNDO QUIROGA 53 ;-66,8483338200;-29,4173196800;1
250.001;25;AGENCIA CHILECITO;JOAQUIN V. GONZALEZ  221 ;-67,5000000000;-29,1666670000;0
250.002;25;AGENCIA CHAMICAL;SAN MARTIN 149 ;-66,3166670000;-30,3666670000;0
250.003;25;AGENCIA CHEPES;JUAN DOMINGO PERON Y ROQUE SAENZ PEÑA S/N ;-66,6166670000;-31,3500000000;0
250.004;25;AGENCIA AIMOGASTA;20 DE MAYO 265 ;-66,8172670000;-28,5541810000;0
250.050;25;AGENCIA MILAGRO;AVDA 9 DE JULIO S/Nº ;-66,0166670000;-31,0166670000;0
250.052;25;AGENCIA VILLA UNION;J. V. GONZALEZ  Esq. HIPOLITO IRIGOYEN S/N ;-68,2000000000;-29,3000000000;0
250.053;25;AGENCIA SAN BLAS DE LOS SAUCES;CALLE PRINCIPAL S/NRO.sobre ruta nac. 40 S/N ;-68,8327290000;-32,8963520000;0
250.054;25;AGENCIA VINCHINA;AVDA CARLOS S. MENEM B° LAS PIEDRITAS S/N ;-68,1666670000;-28,7666670000;0
250.055;25;AGENCIA TAMA;SAN MARTIN S/N S/N ;-66,5333330000;-30,5166670000;0
250.056;25;AGENCIA ANILLACO;CATAMARCA S/N ;-66,9500000000;-28,8166670000;0
250.057;25;AGENCIA FAMATINA;9 DE JULIO S/N ;-67,5166670000;-28,9000000000;0
250.058;25;AGENCIA NONOGASTA;AVDA GDOR GUILLER. IRIBARREN  S/N ;-67,5000000000;-29,3000000000;0
260.000;26;UGL XXVI - SAN LUIS;SAN MARTIN E L.HERAS Y T.JOFRE 1233 ;-66,3312321800;-33,3007678600;1
260.001;26;AGENCIA VILLA MERCEDES;DAGNILLO 27 ;-65,4651940000;-33,6826400000;0
260.002;26;AGENCIA MERLO;AV. LOS ALMENDROS 66 ;-65,0122050000;-32,3439650000;0
260.003;26;AGENCIA BUENA ESPERANZA;PEDERNERA  S/Nº ;-65,2666670000;-34,7666670000;0
260.004;26;AGENCIA SAN FCO.DEL MONTE DE ORO;BELGRANO S/Nº ;-66,1333330000;-32,6000000000;0
260.005;26;AGENCIA CONCARAN;URQUIZA S/Nº ;-65,2448920000;-32,5586060000;0
260.006;26;AGENCIA JUANA KOSLAY;AV.VIENTO CHORRILLERO ESQ.LOS PEJES S/Nº ;-66,2333330000;-33,2500000000;0
260.051;26;AGENCIA UNION;GRANADEROS PUNTANOS 430 ;-65,9500000000;-35,1500000000;0
260.052;26;AGENCIA LA TOMA;MORENO 170 ;-65,6174830000;-33,0539970000;0
260.053;26;AGENCIA QUINES;25 DE MAYO S/Nº ;-65,8026190000;-32,2328050000;0
260.054;26;AGENCIA JUSTO DARACT;HIPOLITO IRIGOYEN 369 ;-65,1834300000;-33,8606870000;0
260.055;26;AGENCIA TILISARAO;AV. CORDOBA 462 ;-65,3000000000;-32,7333330000;0
260.056;26;AGENCIA ANCHORENA;AVDA  WUST 455 ;-65,9500000000;-35,1500000000;0
260.057;26;AGENCIA LA PUNTA;AV.SERRANA-MZ127-LOTE16-LOCAL 2 S/Nº ;-66,4666670000;-32,6667000000;0
260.058;26;AGENCIA NASCHEL;25 DE MAYO 433 ;0,0000000000;0,0000000000;0
270.000;27;AGENCIA GRAL ROCA;9 DE JULIO 499 ;-67,5750000000;-39,0250000000;1
270.001;27;AGENCIA VIEDMA;IRIGOYEN 171 ;-62,9895427100;-40,8119365700;0
270.002;27;AGENCIA BARILOCHE;VICEALTE O CONNOR 847 ;-71,3685531300;-41,1298762000;0
