nombre;calle;numero;localidad;partido;provincia;codpostal;delegacion;sede;reunion;creacion;socios;vencim;barrio;f_inscripc;desde;hasta
NUCLEAMIENTO DE C DE JYP DE LANUS;HIPOLITO YRIGOYEN;6247;REMEDIOS DE ESCALADA;LANUS;2;1826;99;0;8810288;01-sep-89;30;23-may-95;;27-nov-90;05-may-96;04-may-98
C JYP EL REMANSO BANFIELD;BUCAREST;435;BANFIELD;L DE ZAMORA;2;1828;99;0;8810262;25-nov-89;50;18-nov-97;;13-Dec-90;18-may-97;18-nov-97
C JYP SALGUERO;SALGUERO;51;L DE ZAMORA;L DE ZAMORA;2;1832;99;0;1000301;20-nov-89;568;30-Aug-02;;31-Jan-91;30-Aug-02;30-Aug-04
C JYP PUEBLO DE LA PAZ;PASSO;1745;BANFIELD;L DE ZAMORA;2;1832;99;0;;17-jun-92;171;06-Apr-96;;23-mar-93;07-Apr-94;06-Apr-96
C JYP EL REENCUENTRO;LA PLATA;897;BANFIELD;L DE ZAMORA;2;1828;99;0;8810273;13-jun-94;100;24-jun-98;;19-may-95;25-jun-96;24-jun-98
C JYP LUZ DEL AMANECER;MATHEU;1418;BANFIELD;BANFIELD;2;1825;99;0;1010126/   8810285;08-Apr-96;138;31-Dec-99;;20-Dec-96;23-mar-98;22-mar-00
C JYP RINCONCITO DE JUBILADOS;MARSELLA;202;BANFIELD;L DE ZAMORA;2;1828;99;0;1000391;01-jul-97;50;05-oct-06;;24-nov-97;19-may-06;19-may-08
C JYP UN LUGAR PARA TODOS;FORMOSA;55;BANFIELD;L DE ZAMORA;2;1828;99;0;1010136;04-Apr-96;104;31-mar-98;;09-feb-98;20-nov-02;22-Apr-05
C JYP LOS AÑOS FELICES;CARLOS CROCE;1020;BANFIELD;LOMAS DE ZAMORA;2;1828;99;2;1000433;11-Apr-99;60;04-jun-07;;09-mar-00;11-Apr-07;11-Apr-09
CTRO. INDEPENDIENTE DE JYP. VOLVER A VIVIR DEL RECUERDO DE NORMA PLA;EUGENIO O. NEILL;438;BANFIELD;LOMAS DE ZAMORA;2;1828;99;0;1000466;28-Aug-99;150;28-Aug-99;;01-nov-00;28-Aug-99;28-Aug-01
C JUB CONSTANCIA FE Y FUTURO CRISOLOGO LARRALDE;NUNEZ DE ARCE       S Y;1200;BANFIELD;LOMAS DE ZAMORA;2;1828;99;0;1000535;24-may-89;109;08-Apr-97;;15-jun-89;05-sep-02;05-mar-03
C JYP 17 DE OCTUBRE;MACIAS;1807;BANFIELD;L DE ZAMORA;2;1828;99;6;1000199;22-may-88;276;06-jul-98;;03-Aug-89;02-may-01;02-may-03
C JYP ANTONIO GIL;ANTONIO FILARDI;2171;VILLA FIORITO;LANUS;2;1832;99;1;1000509;18-Aug-98;106;03-Aug-02;;28-oct-98;22-Dec-01;22-Dec-03
C JYP LA CASA DEL REENCUENTRO DE LOS MAYORES;CAMPANA;2445;ING BUDGE;L DE ZAMORA;2;1773;99;0;8810275;15-jul-94;102;14-sep-98;;07-nov-95;15-sep-96;14-sep-98
C JYP LA ESTRELLA DE INGENIERO BUDGE;COSQUIN;2502;ING BUDGE;L DE ZAMORA;2;1773;99;3;8800106;16-sep-89;270;15-sep-91;;13-nov-89;16-sep-89;15-sep-91
C JYP SOL NACIENTE;MOLDES;1034;LLAVALLOL;L DE ZAMORA;2;1836;99;0;1000519;21-Jan-93;104;26-nov-01;;23-mar-93;30-Jan-01;30-Jan-03
C JYP SAN CARLOS;ROSEDAL;251;LAVALLOL;LANUS;2;1836;99;0;1010135;03-jul-97;155;02-jul-99;;30-Dec-97;03-jul-97;02-jul-99
GRUPO JYP ALTO VERDE DE LLAVALLOL;CUYO;731;LLAVALLOL;L DE ZAMORA;2;1836;99;5;8810256;18-mar-88;250;29-jun-99;;02-Jan-89;30-jun-97;29-jun-99
C JYP BARRIO ENZ;LUJAN;990;LLAVALLOL;L DE ZAMORA;2;1836;99;0;8800110;01-may-89;76;30-may-91;;10-nov-89;  -   -;30-may-91
ASOC MUTUAL JYP JUSTICIA SOCIAL;KURTH;156;LLAVALLOL;L DE ZAMORA];2;1836;99;0;8810263;05-may-90;59;11-Dec-97;;15-jun-90;12-Dec-95;11-Dec-97
C JYP SAN JOSE;UYARZUN;331;V.ALBERTINA;L. DE ZAMORA;2;1829;99;5;1000430;19-jun-97;65;31-Dec-99;;28-Jan-99;25-jun-99;24-jun-01
C JYP VILLA URBANA;CAMPANA;1216;V. ALBERTINA;L. DE ZAMORA;2;1829;99;0;8810282;30-oct-98;58;29-oct-99;;17-may-99;30-oct-98;29-oct-00
CTRO. DE JYP. NUESTRA ETERNA JUVENTUD;FALLERES;2152;VILLA URBANA;LOMAS DE ZAMORA;2;1773;99;0;1000482;  -   -;200;16-jul-00;;03-may-01;16-jul-00;16-jul-02
C JUB LOS INVENCIBLES;EL TREBOL;3885;TEMPERLEY;L DE ZAMORA;2;1834;99;1;;08-Aug-92;320;05-Aug-02;BARRIO PAMI;23-mar-93;24-nov-02;24-nov-04
C JYP TRIUNFO Y AMISTAD;GABOTO;5964;TEMPERLEY;L DE ZAMORA;2;1834;99;0;1000342;17-Aug-93;175;16-Aug-01;;17-feb-95;01-may-02;01-may-04
C JYP JUVENTUD PROLONGADA;ALLEMANDRI;1609;TEMPERLEY;L DE ZAMORA;2;1834;99;0;1000515;05-Dec-93;65;31-Dec-99;;31-may-94;24-mar-01;24-mar-03
C JYP STELLA MARIS;COSTA RICA;977;TEMPERLEY;L DE ZAMORA;2;1834;99;0;8800108;17-Dec-94;110;16-Dec-96;;19-feb-96;17-Dec-94;16-Dec-96
C JYP PROYECCION SABER VIVIR;ARAGUAYA;937;TEMPERLEY;LOMAS DE ZAM;2;1836;99;6;1000385;02-jul-95;180;19-jul-99;;22-Apr-97;28-Aug-99;28-Aug-01
C JYP AMOR Y ALEGRIA;MONTERO;26;TEMPERLEY;LOMAS DE ZAMORA;2;1834;99;1;1000467;09-oct-94;100;31-Dec-99;;04-Aug-98;22-may-99;21-may-01
C JYP HERMANOS UNIDOS;SANTA INES;794;TEMPERLEY;L. DE ZAMORA;2;1834;99;5;1000413;11-jun-97;108;30-jun-99;;24-nov-98;25-Aug-99;25-Aug-01
C JYP CELESTE Y BLANCO;AV EVA PERON;2693;TEMPERLEY;TEMPERLEY;2;1834;99;9;1000412;16-sep-98;42;14-Jan-03;;14-Dec-98;14-Jan-03;14-Jan-05
C JYP SAN JOSE OBRERO;GABOTO-B SAN JOSE;2672;TEMPERLEY;L DE ZAMORA;2;1846;99;0;8800119;24-feb-85;594;28-feb-89;;29-Jan-86;  -   -;28-feb-89
C JYP FE Y ESPERANZA;INDALECIO GOMEZ;732;TEMPERLEY;LOMAS DE ZAMORA;2;1834;99;3;8810261;20-jun-88;350;31-Dec-99;;15-mar-90;04-Aug-98;03-Aug-00
C JYP LA ALEGRIA TEMPERLEY;CAPITAN ROJAS;2241;BANFIELD;L DE ZAMORA;2;1828;99;0;1000256;25-oct-90;314;24-nov-01;;21-Jan-91;14-nov-01;14-nov-03
C JYP NUEVO AMANECER ARGENTINO;12 DE AGOSTO;610;TEMPERLEY;L DE ZAMORA;2;1834;99;0;8800105;01-Jan-88;102;12-may-93;;23-jul-91;  -   -;12-may-93
CENTRO DE JYP BIENVENIDA LA PAZ;BUSTOS;4087;V. LA MADRID;LOMAS DE ZAMORA;2;1832;99;0;1000491;09-Jan-00;124;25-Aug-03;;25-jun-01;09-Jan-02;09-Jan-04
SUB-COM JYP DEL CLUB SOC Y DEP EL LIBERTADOR SAN MARTIN;ALTE. BROWN;473;LUJAN;LUJAN;2;6700;99;2;QUINCENAL;01-jun-91;59;31-Dec-99;;05-jul-94;28-Jan-99;27-Jan-01
JYP LOS SIEMPRE JOVENES DE PAMI LUJAN;BARTOLOME MITRE;583;LUJAN;LUJAN;2;6700;99;5;3200019;25-may-84;110;17-Dec-99;;30-Apr-84;16-Apr-00;15-Apr-02
C JYP ESTRELLA ITALO-ARGENTINO;SAN MARTIN;538;LUJAN;LUJAN;2;6700;99;0;;18-nov-89;242;30-oct-91;;30-oct-90;  -   -;30-oct-91
C JYP DE LA SOC UNION ITALIANA DE SOCORROS MUTUOS DE LUJAN;SAN MARTIN;548;LUJAN;LUJAN;2;6700;99;4;MENSUALES;05-jul-91;120;30-Dec-03;;27-sep-91;21-nov-04;20-nov-05
CTRO.EX COMB. DE MALVINAS PART. DE LUJAN;SAN MARTIN;151;LUJAN;LUJAN;2;6700;99;0;;01-nov-90;0;  -   -;;02-oct-95;12-Dec-95;12-Dec-97
AGRUP POR LA UNIDAD NAC DE JYP;9 DE JULIO;173;JAUREGUI;LUJAN;2;6706;99;2;MENSUAL;09-Jan-93;220;08-mar-97;;08-Aug-94;09-mar-95;08-mar-97
CLUB DE ABUELOS ALBORADA;DR. CAYETANO PEPE;0;BARTOLOME BAV;MAGDALENA;2;1911;99;0;;12-Apr-88;176;30-Aug-92;;04-feb-91;  -   -;30-Aug-92
C JYP POR LA VIDA;LOS ANGELES;184;STA CLARA DEL;MAR CHIQUITA;2;7609;99;1;;09-mar-98;73;31-Dec-99;;13-jul-99;09-jun-98;31-Dec-99
C JYP 22 DE ENERO;LAS LILAS;435;CIUDAD EVITA;LA MATANZA;2;1778;99;0;;10-oct-97;67;09-oct-99;;11-may-98;07-nov-99;07-nov-01
CENTRO DE JYP SOL NACIENTE; VOISSIN;4666;GONZALEZ CATAN;LA MATANZA;2;1759;99;0;ERA 3500165;24-feb-99;154;20-Jan-05;;08-oct-03;20-Jan-05;20-Jan-07
C JYP SAN JOSE;EDISON;2101;ISIDRO CASANOVA;LA MATANZA;2;1765;99;1;3510028;20-Jan-99;34;11-may-00;;11-may-00;20-Jan-99;19-Jan-01
C JYP LOS AÑOS DORADOS;AV. LURO;2978;G. DE LAFERRERE;LA MATANZA;2;1755;99;1;3510030;02-jun-99;0;  -   -;;26-jun-00;21-nov-99;20-nov-00
C JYP MARIA ELENA;DELTEJAR;4254;LAFERRERE;LA MATANZA;2;1759;99;9;3510034;05-oct-97;250;02-sep-06;;06-may-98;16-jun-99;16-jun-01
C JYP JOVENES POR SIEMPRE;12 DE OCTUBRE;435;RAMOS MEJIA;LA MATANZA;2;1704;99;5;3510015;23-mar-97;390;22-mar-99;;06-Apr-99;23-mar-97;22-mar-99
SUBCOM DE JYP TODOS UNIDOS DE LA ASOC DE FOMENTO DON BOSCO;AVELLANEDA;2465;RAMOS MEJIA;LA MATANZA;2;1704;99;0;;08-Apr-85;102;30-Apr-90;;21-Jan-88;  -   -;30-Apr-90
C JYP MARIA ZAPPIA;OLAZABAL;230;CIUDAD MADERO;LA MATANZA;2;1766;99;1;3510004;02-jun-97;42;01-jun-99;;17-mar-98;29-mar-01;29-mar-03
C JYP AMIGOS DEL RASTREADOR FOURNIER;AGUERO;1037;VILLA MADERO;LA MATANZA;2;1768;99;6;3510012;03-mar-97;101;02-mar-99;;05-feb-99;03-mar-97;02-mar-99
SUB-COM JYP DEL SIND DE LUZ Y FUERZA LA MATANZA;SARANDI;3141;SAN JUSTO;MORON;2;1754;99;0;;02-oct-43;0;30-Dec-84;;06-jul-84;  -   -;30-Dec-84
CENTRO DE JP Y 3ª EDAD SAN FRANCISCO;NAON;742;LOMAS DEL MIRADOR;LA MATANZA;2;1752;99;1;3500175;20-sep-99;65;17-Aug-04;;08-nov-99;27-may-04;27-may-06
ASOC JYP DE LA REPUBLICA ARGENTINA AJYPRA;SARGENTO CABRAL;3360;LA MATANZA;LA MATANZA;2;1752;99;0;3510035;26-jul-96;90;25-jul-98;;04-nov-96;26-jul-96;25-jul-98
C JPYR Y 3ERA EDAD LA VERDAD;ROCA,JULIO A;824;L DEL MIRADOR;MATANZA;2;1752;99;0;;17-feb-88;1004;09-oct-95;;12-Aug-88;10-oct-93;09-oct-95
C JYP ALUMINE;CALLE Nø 11;530;MERCEDES;MERCEDES;2;6600;99;2;3200067/8810358;07-feb-94;624;09-Dec-98;;28-mar-94;10-Dec-96;09-Dec-98
C JYP PROBIENESTAR BARRIO LA PENTA;CALLE  36;231;MERCEDES;MERCEDES;2;6600;99;5;;26-jun-98;103;25-jun-99;;02-sep-98;26-jun-98;25-jun-99
ASOC JYP YOY;CALLE 15 Y 16;98;MERCEDES;MERCEDES;2;6600;99;8;MENSUAL 1ER JUEVES DEL ME;02-Apr-96;50;31-Dec-99;;12-Dec-96;07-oct-99;06-oct-00
CTRO. DE JYP ABUELOS ARGENTINOS;SAN ANTONIO;1665;MERLO NORTE;MERLO;2;1722;99;6;2900352;01-Dec-93;20;08-mar-03;;19-jul-94;08-mar-03;08-mar-04
C JYP LA COLONIAL;CONSTITUCION;245;MERLO;MERLO;2;1722;99;0;;01-may-89;259;30-may-91;;23-Apr-90;  -   -;30-may-91
CTRO. DEVET. DE GUERRA MALVINAS MERLO;AV. LIBERTADOR;391;MERLO SUR;;2;1722;99;0;2919002;01-oct-93;0;  -   -;;26-Jan-95;01-oct-93;01-oct-95
ASOC CIVIL C ALEGRIA DE JYP;JOSE MIRO;480;LIBERTAD;MERLO;2;1716;99;5;2900245;16-jul-93;35;31-Dec-99;;27-oct-93;20-feb-99;19-feb-01
C DE LA TERCERA EDAD CASA DE LA ESPERANZA;PRINGLES;225;PASO DEL REY;MERLO;2;1742;99;0;2910067;04-oct-91;263;30-Jan-95;;24-Jan-94;30-Jan-93;30-Jan-95
CLUB CORAZONES UNIDOS;BERNACHI Y HERITIER;;S A DE PADUA;MERLO;2;1718;99;5;2900045;03-mar-83;300;30-mar-97;;30-Apr-84;07-jul-01;07-jul-03
C JYP RENACER;ECHEVERRÖA;1010;S A DE PADUA;;2;1718;99;0;;02-may-95;67;02-may-97;;27-feb-96;02-may-95;02-may-97
C JYP TIEMPO DE VIVIR;NOGUERA;798;S A DE PADUA;MERLO;2;1718;99;0;;10-nov-96;85;12-nov-99;;26-may-98;18-nov-00;17-nov-02
C JUB FERROVIARIOS SE¥ALEROS Y ADHERENTES;ACAYUAZA Y SAN CARLO;;MORENO;MORENO;2;1744;99;0;;05-jul-87;134;08-Aug-95;;10-Jan-95;08-Aug-93;08-Aug-95
C JP Y 3ø EDAD LA UNIàN;DR ALEXIS CARREL;6874;L DE MARILà;MORENO;2;1664;99;0;;15-oct-95;97;14-oct-96;;18-jun-96;15-oct-95;14-oct-96
LA TERCERA EDAD PALOMA DE LA LIBERTAD;IBERLUCIA/MARIA CURU;;MORENO;MORENO;2;1744;99;0;;18-jul-94;28;17-jul-96;;07-Aug-96;18-jul-94;17-jul-96
ASOC DE EDUC JYR DE LA PCIA DE BS AS FILIAL;BARTOLOME MITRE;1001;MORENO;MORENO;2;1744;99;0;;10-jun-70;169;30-oct-94;;09-Apr-91;30-oct-92;30-oct-94
C DE JYP Y ADHERENTES MI HOGAR;ECUADOR;6277;MORENO;MORENO;2;1744;99;0;;23-sep-90;106;23-sep-92;;08-jul-91;  -   -;23-sep-92
C DE ACCION SOCIAL STA TERESITA;LUCIA RUEDA;4241;PASO DEL REY;MORENO;2;1742;99;0;;06-may-90;133;06-may-92;;08-Jan-92;  -   -;06-may-92
C JYP UNION FEDERALISTA;LA BARRANCA Y EL PESCADO;0;PASO DEL REY;MORENO;2;1742;99;0;;07-may-90;255;30-may-93;;24-Aug-90;  -   -;30-may-93
C DE LA 3ø EDAD JYP DE LOMAS DE MARILO;LINCOLN Y COLON;2259;L DE MARILO;MORENO;2;1664;99;5;2910069;03-mar-90;86;03-Aug-97;;11-Apr-94;04-Aug-96;03-Aug-97
C JYP PROTEGER LA VIDA;TRIUNVIRATO;2838;MORENO;MORENO;2;1664;99;0;;13-jun-98;82;12-jun-99;;09-Dec-98;13-jun-98;12-jun-99
LOS JUBILADOS DE LA CALLE YATAY;YATAY;448;MORON;MORON;2;1708;99;0;;12-jul-91;110;20-Apr-96;;07-Dec-92;21-Apr-94;20-Apr-96
C JYP PAZ Y AMOR;BALCARCE;1485;MORON;MORON;2;1708;99;8;2900215;01-may-93;150;09-jun-99;;11-Apr-94;10-jun-97;09-jun-99
NUCLEAMIENTO DE LA 3ø EDAD POR LOS DERECHOS DE LA ANCIANIDAD;SANTOS VEGA Y QUIROG;;ITUZAINGO;MORON;2;1708;99;0;;23-Aug-93;220;10-Aug-97;;18-Aug-94;07-sep-96;10-Aug-97
C JYP COMUNIDAD CRISTIANA; 25 DE MAYO;861;MORON;MORON;2;1708;99;9;LUNES 16.00 A 20.00 HS.;18-sep-94;100;16-Jan-99;;17-may-95;18-Jan-97;16-Jan-99
C JPYR SAN CAYETANO;BELGRANO;4031;MORàN;MORàN;2;1708;99;0;;  -   -;112;03-jul-95;;06-mar-96;03-Jan-95;03-jul-95
C JYP EL RINCONCITO;DON BOSCO;3263;MORON;MORON;2;1708;99;0;;01-may-94;161;07-Dec-96;;22-jul-96;08-Dec-94;07-Dec-96
C JP Y 3ø EDAD MATE AMARGO;MONSE¥OR A¥EIRO;3162;MORON;MORON;2;1708;99;0;;05-jun-94;152;22-oct-98;;06-Jan-97;23-oct-96;22-oct-98
SUB-COM JYP DEL SIND DE LUZ Y FUERZA;MACHADO;749;MORON;MORON;2;1708;99;0;;02-oct-43;0;20-Aug-96;;06-jul-84;20-Aug-92;20-Aug-96
CTRO. DE JYP. CON ESPERANZA VAMOS...;VERGARA;557;MORÓN;MORÓN;2;1708;99;0;2900326;09-feb-00;84;20-Jan-02;;25-Apr-01;20-Jan-02;20-Jan-04
C JYP CASTELAR SUR;ORTUZA;3540;CASTELAR;MORON;2;1712;99;0;;  -   -;150;30-oct-87;;14-sep-87;  -   -;30-oct-87
SUB-COM JUB DE LA SOC ITAL DE TIRO AL BLANCO;MARCONI,AV GUILLERMO;1225;EL PALOMAR;MORON;2;1684;99;0;;07-jul-90;250;07-jul-92;;01-jun-92;07-jul-90;07-jul-92
CLUB DE LA 3° EDAD Y LA FLIA. ITALO ARGENTINO;MAESTRO PIROVANO;1371;HURLINGHAM;HURLINGHAM;2;1686;99;9;2900337;25-Apr-01;70;22-mar-02;;22-mar-02;11-Jan-04;11-Jan-06
CTROP. DE JUBILADOS LOS BOHEMIOS DE ITUZAINGO;GUIRALDES;4281;ITUZAINGO;MORÒN;2;1714;99;7;2900336;20-jun-00;53;29-oct-01;;29-oct-01;30-Dec-00;30-Dec-01
SUBCOM JYP DE ADERDA ASOC.DE EX-RESID.DE AMEGHINO,BLAQUIER Y STA.ALEODORA;MURIAS;429;HAEDO;HAEDO;2;1706;99;2;3 VIERNES DE CADA MES;25-oct-95;160;01-nov-99;;04-nov-96;01-nov-97;01-nov-99
C JYP LOS CARDALES;EMILIO FRERS;1216;VILLA UDAONDO;MORON;2;1713;99;0;;27-sep-86;100;  -   -;;28-Dec-88;28-Dec-88;  -   -
CIRC REC DE JUB DE NECOCHEA;71;2939;NECOCHEA;NECOCHEA;2;7630;99;0;;02-sep-80;250;30-jun-90;;18-nov-87;  -   -;30-jun-90
CLUB SOCIAL Y RECREATIVO DE JYP;BARTOLOME MITRE Y LEVALL;0;9 DE JULIO;9 DE JULIO;2;6500;99;0;;14-feb-80;475;30-Dec-90;;  -   -;  -   -;30-Dec-90
C JYP NUEVA VIDA DE CARMEN DE PATAGONES;BELGRANO;328;CARMEN DE PATAGONES;CARMEN DE PATAGONES;2;8504;99;1;1° Y 2° JUEVES CADA  MES.;28-feb-96;70;27-feb-98;;29-Apr-96;28-oct-99;28-oct-02
CENTRO DE PARTICIPACIÓN PARA LA 3° EDAD;NAZARRE;1144;PILAR;PILAR;2;1629;99;0;3200141;03-Aug-02;193;24-Apr-03;;24-Apr-03;28-sep-03;27-sep-04
C JYP DE LA 3ø EDAD EL RINCON DE LOS AMIGOS;RINCON;780;PILAR;PILAR;2;1629;99;1;QUINCENAL;14-nov-94;151;16-mar-99;;02-Jan-96;17-mar-97;16-mar-99
CTRO.DE VET. DE GUERRA DEL PILAR;RUTA NAC.8 KM. 5850;;PILAR;PILAR;2;1629;99;0;3209004;15-nov-98;90;30-sep-99;;22-sep-99;22-jun-02;21-jun-03
SIND LUZ Y FUERZA CAP FED SUBCOM JYP ZONA QUILMES;MITRE;963;QUILMES;QUILMES;2;1878;99;0;;02-oct-43;90;31-Dec-89;;06-jul-84;  -   -;31-Dec-89
C JYP Y PERSONAS DE LA 3ERA EDAD ARCO IRIS;BOEDO;2145;QUILMES OESTE;QUILMES;2;1878;99;9;8810258;21-feb-89;186;25-sep-99;;07-jul-89;26-sep-97;25-sep-99
C JYP CORAZONES FELICES;388;2549;QUILMES;QUILMES;2;1879;99;0;;14-oct-88;100;30-oct-90;;03-Aug-89;  -   -;30-oct-90
C JYP ROSAS DE ABRIL;ITTE. OLIVIERI;1367;QUILMES OESTE;QUILMES;2;1878;99;9;1000223;15-sep-89;100;16-may-04;;06-feb-89;16-may-03;16-may-05
C JYP DE BERNAL OESTE;LEANDRO N ALEM;952;BERNAL OESTE;QUILMES;2;1876;99;0;;26-Apr-78;400;26-Apr-93;;03-oct-85;  -   -;26-Apr-93
GRUPO JYP DICHA DE VIVIR;DARDO ROCHA;1570;BERNAL OESTE;QUILMES;2;1876;99;0;1000043;01-Aug-84;196;13-sep-99;;09-sep-86;20-Aug-00;20-Aug-02
C JYP VIVIR CON AMOR;CRAMER;723;BERNAL;QUILMES;2;1876;99;0;8810257;02-sep-86;252;02-oct-99;;13-oct-86;03-oct-97;02-oct-99
C JYP ROSAS DE OTOÑO;ESTANISLAO ZEBALLOS;2126;BERNAL OESTE;QUILMES;2;1876;99;0;8810264;01-may-91;200;01-may-99;;12-nov-91;01-may-97;01-may-99
RENACER CON AMOR;CRAMER;820;BERNAL ESTE;QUILMES;2;1876;99;0;8810253;18-mar-88;324;11-Apr-99;;09-jun-88;12-Apr-98;11-Apr-00
C JYP UNA ESPERANZA EN MARCHA;MADAME CURIE;4412;EZPELETA;QUILMES;2;1882;99;0;1000369;26-mar-93;91;01-jul-99;;22-mar-96;25-nov-99;24-nov-01
CENTRO DE JUB., PENS. Y DE LA 3° EDAD ETERNA JUVENTUD;895 ENTRE 851 Y 852;5119;SOLANO;QUILMES;2;1881;99;0;1000460;10-oct-96;150;20-may-00;;18-oct-00;20-may-00;20-may-02
C JYP LOS JOVENES DE AYER;PAULA ALBARRACIN;4111;QUILMES OESTE;QUILMES;2;1879;99;0;1000384;30-Aug-95;129;01-Jan-05;;14-mar-97;01-Jan-04;31-Dec-05
PAZ AMOR Y COMPRENSION QUILMES OESTE;PRESIDENTE PERON;3994;QUILMES OESTE;QUILMES;2;1879;99;0;;06-feb-88;348;28-mar-93;;25-jul-88;  -   -;28-mar-93
C JYP Y DE LA 3ø EDAD BARRIO VILLA HALL;SANTA MARIA DE ORO;1299;SAN FERNANDO;SAN FERNANDO;2;1646;99;5;JUEVES 17 A 20 HS.;12-sep-94;70;07-sep-99;;26-may-95;08-sep-97;07-sep-99
CONS REG JYP E INSTIT DE LA 3¦ EDAD ZONA NORTE;DARWIN;287;OLIVOS;VICENTE LOPE;2;1636;99;0;;28-oct-85;0;03-jun-94;;19-feb-93;03-jun-92;03-jun-94
C JUB LA RECONQUISTA;INDEPENDENCIA;172;VICTORIA;SAN FERNANDO;2;1644;99;0;;01-jun-94;109;01-jun-96;;14-mar-95;01-jun-94;01-jun-96
C JYP 3ø EDAD 17 DE NOVIEMBRE;SOC DE FOMENTO M BEL;;VIRREYES;SAN FERNANDO;2;1646;99;0;;20-nov-92;131;31-mar-96;;09-Jan-95;01-Apr-94;31-mar-96
C JYP 1§ DE MAYO DE ZONA NORTE;CORDOBA;2450;VIRREYES;SAN FERNANDO;2;1646;99;0;;01-may-88;70;31-may-90;;10-nov-89;  -   -;31-may-90
GRUPO 3ERA EDAD MARIA AUXILIADORA PARROQ SAN JOSE;DIEGO PALMA;215;SAN ISIDRO;SAN ISIDRO;2;1642;99;0;JUEVES 16 HS;  -   -;100;  -   -;;05-Apr-90;05-Apr-90;  -   -
C DE AMISTAD DE LOS ABUELOS;RIVADAVIA;1461;BECCAR;SAN ISIDRO;2;1643;99;0;;21-sep-85;261;11-jul-93;;21-oct-92;11-jul-91;11-jul-93
C JYP RENACER (13 BIS);DEAN FUNES;444;BOULOGNE;SAN ISIDRO;2;1609;99;0;;  -   -;168;14-sep-94;;07-jul-93;  -   -;14-sep-94
C JYP BARRIO SAN ISIDRO;CAZON Y CURA ALLIVIE;0;BOULOGNE;SAN ISIDRO;2;1609;99;0;MA 16 HS;03-jun-87;135;15-Jan-94;;26-Aug-87;  -   -;15-Jan-94
SIND LUZ Y FUERZA CAP FED SUB-COM JUB ZONA NORTE;ITALIA;1642;MARTINEZ;SAN ISIDRO;2;1642;99;0;"J 15;30";02-oct-43;1000;28-Aug-86;;06-jul-84;  -   -;28-Aug-86
HOGAR MODELO DE ANCIANOS MI HOGAR;HIPOLITO IRIGOYEN;1822;MARTINEZ;SAN ISIDRO;2;1640;99;0;;25-mar-88;162;31-Jan-91;;09-Jan-91;  -   -;31-Jan-91
C JYP SAN NICOLAS DE BARI;PELLEGRINI;332;SAN NICOLAS;SAN NICOLAS;2;2900;99;5;MENSUALES - 2ø MARTES;03-may-93;323;03-Aug-99;;18-mar-94;04-Aug-97;03-Aug-01
C JYP FUNDACION GERONTOLOGICA ARG - SAN NICOLAS -;;;SAN NICOLAS;SAN NICOLAS;2;;99;0;;  -   -;0;  -   -;;  -   -;  -   -;  -   -
FED JYP PERONISTAS DE LA REP ARGENTINA - SAN NICOLAS -;NACION OF 17/19;340;SAN NICOLAS;SAN NICOLAS;2;2900;99;0;;17-Aug-90;0;10-feb-94;;08-oct-92;10-feb-92;10-feb-94
C JYP UNION FERROVIARIA - SAN NICOLAS -;AMEGHINO;471;SAN NICOLAS;SAN NICOLAS;2;2900;99;1;;14-Apr-92;202;21-Apr-98;;27-jul-92;22-Apr-96;21-Apr-98
C JYP 5 DE MAYO;SEC G CASA;272;Bø 7 DE SEPTI;SAN NICOLAS;2;2901;99;0;;05-may-94;150;04-may-96;;16-Jan-96;05-may-94;04-may-96
C JYP GASTRONOMICOS 2 DE AGOSTO DE SAN NICOLAS;ECHEVERRIA;64;SAN NICOLAS;SAN NICOLAS;2;2900;99;9;3200131;18-Aug-99;20;08-Jan-02;;20-Apr-99;22-feb-02;23-feb-03
C JYP GASTRONOMICOS DE SAN NICOLAS;SAN MARTIN;366;SAN NICOLAS;SAN NICOLAS;2;2900;99;5;;18-Apr-97;101;18-Apr-99;;22-oct-97;18-Apr-97;18-Apr-99
C DOCENTES JYP DE SAN NICOLAS;BARTOLOME MITRE;136;SAN NICOLAS;SAN NICOLAS;2;2900;99;0;;01-Dec-83;82;30-Dec-86;;30-Apr-84;  -   -;30-Dec-86
FEDERACION UNICA SAN NICOLAS JUBILADOS Y RETIRADOS DE TODOS LOS SIST PREV;JOSE INGENIEROS;114;SAN NICOLAS;SAN NICOLAS;2;2900;99;0;1 AL MES;16-jun-90;3;30-jun-92;;29-Aug-90;  -   -;30-jun-92
C JUB NSTRA SENORA DEL ROSARIO DE SAN NICOLAS;SARMIENTO;248;SAN NICOLAS;SAN NICOLAS;2;2900;99;0;1 AL MES;  -   -;160;30-mar-93;;28-jun-91;  -   -;30-mar-93
C JYP DE DOMSELAAR;DEL FFCC Y SGTO CABR;;DOMSELAAR;SAN VICENTE;2;1984;99;9;;24-Aug-97;43;23-Aug-99;;06-oct-98;24-Aug-97;23-Aug-99
CLUB JP Y RET 3ERA EDAD SUIPACHA;25 DE MAYO;581;SUIPACHA;SUIPACHA;2;6612;99;5;3200028;02-Aug-86;305;31-Dec-99;;19-Dec-86;16-sep-00;15-sep-02
