nombre;calle;numero;localidad;partido;provincia;codpostal;delegacion;sede;reunion;creacion;socios;vencim;barrio;f_inscripc;desde;hasta
C DE JYP. CAMILO HAZDRUN;GRAL. BELGRANO ;520;CHAÑAR;GRAL. BELGRANO;12;5276;25;8;LU A VI 10/12 Y 18/20 HS;26-Jan-93;47;08-Apr-08;;29-may-01;05-nov-07;04-nov-09
CENTRO DE JYP PADRE ANTONIO CONRRERO;PRINCIPAL;S/N;CHAÑAR;GENERAL BELGRANO;12;5276;25;5;S/ DATO;20-nov-09;37;27-sep-11;;17-jun-10;20-nov-09;20-nov-13
CENTRO DE JYP DE OLTA;CASTRO BARROS ;317;OLTA;GENERAL BELGRANO;12;5383;25;2;LUN A VIE 8/12 Y 17/20 H.;16-sep-88;246;13-Aug-12;;15-jun-90;23-jul-12;22-jul-14
CENTRO DE JYP VIRGEN DEL CARMEN;SAN MARTIN;S/N;VILLA CASTELLI;GENERAL LAMADRID;12;5355;25;8;LUN. A VIE. 8 A 12 HS.;25-nov-05;30;14-oct-11;;08-sep-09;10-sep-11;10-sep-13
CTRO. DE JYP DE GUANDACOL;PUBLICA;S/N;GUANDACOL;FLORENCIA VARELA;12;5353;25;2;LUN.A VIE.10/12-16/19 HS.;26-may-94;120;03-Apr-13;;17-Aug-01;28-Dec-12;27-Dec-14
CTRO. DE JYP. DEL OESTE  SAN CAYETANO;24 DE SEPTIEMBRE;S/N;PAGANCILLO;GRAL. LAVALLE;12;5369;25;2;LUN A VIE 17-19 HS;  -   -;30;27-sep-11;;21-Aug-01;09-Apr-11;08-Apr-13
ASOC JYP NAC DEL DEPTO GRAL LAVALLE VILLA UNION JUPENA;SAN MARTIN ;S/N;VILLA UNION;LAVALLE;12;5350;25;2;LU A VIE 9/12 17/19;24-mar-85;143;16-mar-12;;31-Aug-89;25-feb-12;25-feb-14
C JYP DE EL MILAGRO;COLON ;S/N;EL MILAGRO;GRAL OCAMPO;12;5274;25;2;L A V 8/12 Y 17/20;09-Aug-85;99;27-sep-11;;12-jun-85;29-oct-10;29-oct-12
C JYP ERMELINDA MORENO DE CORZO;9 DE JULIO;S/N;SANTA RITA DE CATUNA;GENERAL OCAMPO;12;5275;25;8;LUN. A VIE. 8 A 12 HS.;09-Jan-93;72;26-sep-11;;03-feb-96;07-feb-10;06-feb-13
CENTRO DE JYP VIRGEN DEL VALLE;CALLE PUBLICA;S/N;MILAGRO;GENERAL  OCAMPO;12;5254;25;2;L A V 10/12 Y 18/20;28-mar-94;62;04-oct-12;;20-Aug-02;02-jul-12;01-jul-14
C JYP DE LA CIUDAD DE CHEPES;LAS HERAS;258;CHEPES;ROSARIO VERA PEÑALOZA;12;5470;25;2;LUN.A VIE.10/12-17/20 HS.;16-Aug-84;185;27-Aug-13;;02-nov-84;31-may-13;30-may-15
